congress,southern,Dem.med,Rep.med
42,Border States,-0.465,0.306
42,Northern States,-0.296,0.328
42,Southern States,-0.417,0.31
42,All States,-0.349,0.3265
43,Border States,-0.439,0.2635
43,Northern States,-0.305,0.3295
43,Southern States,-0.4375,0.2915
43,All States,-0.3795,0.3245
44,Border States,-0.431,0.361
44,Northern States,-0.294,0.3635
44,Southern States,-0.435,0.39
44,All States,-0.363,0.364
45,Border States,-0.463,0.194
45,Northern States,-0.305,0.388
45,Southern States,-0.435,0.27
45,All States,-0.3765,0.379
46,Border States,-0.46199999999999997,NA
46,Northern States,-0.306,0.399
46,Southern States,-0.4425,0.28500000000000003
46,All States,-0.395,0.399
47,Border States,-0.483,0.348
47,Northern States,-0.2995,0.398
47,Southern States,-0.4555,0.335
47,All States,-0.396,0.391
48,Border States,-0.405,0.388
48,Northern States,-0.251,0.392
48,Southern States,-0.464,0.27
48,All States,-0.337,0.385
49,Border States,-0.391,0.321
49,Northern States,-0.271,0.398
49,Southern States,-0.4605,0.3195
49,All States,-0.357,0.391
50,Border States,-0.383,0.363
50,Northern States,-0.26,0.405
50,Southern States,-0.4635,0.342
50,All States,-0.379,0.398
51,Border States,-0.419,0.449
51,Northern States,-0.285,0.408
51,Southern States,-0.469,0.376
51,All States,-0.381,0.408
52,Border States,-0.387,0.551
52,Northern States,-0.26,0.4265
52,Southern States,-0.47,0.3665
52,All States,-0.32,0.426
53,Border States,-0.387,0.408
53,Northern States,-0.262,0.4425
53,Southern States,-0.447,0.36
53,All States,-0.339,0.439
54,Border States,-0.365,0.3525
54,Northern States,-0.241,0.4385
54,Southern States,-0.447,0.307
54,All States,-0.422,0.43
55,Border States,-0.434,0.345
55,Northern States,-0.268,0.4425
55,Southern States,-0.442,0.343
55,All States,-0.396,0.4345
56,Border States,-0.416,0.406
56,Northern States,-0.25,0.444
56,Southern States,-0.422,0.387
56,All States,-0.36,0.442
57,Border States,-0.3845,0.393
57,Northern States,-0.263,0.445
57,Southern States,-0.416,0.437
57,All States,-0.3645,0.4435
58,Border States,-0.379,0.436
58,Northern States,-0.2695,0.4435
58,Southern States,-0.412,0.433
58,All States,-0.368,0.443
59,Border States,-0.398,0.386
59,Northern States,-0.2905,0.4455
59,Southern States,-0.416,0.442
59,All States,-0.395,0.444
60,Border States,-0.365,0.408
60,Northern States,-0.284,0.444
60,Southern States,-0.416,0.438
60,All States,-0.3665,0.442
61,Border States,-0.356,0.3835
61,Northern States,-0.262,0.439
61,Southern States,-0.421,0.337
61,All States,-0.365,0.432
62,Border States,-0.31,0.408
62,Northern States,-0.252,0.414
62,Southern States,-0.419,0.325
62,All States,-0.32,0.414
63,Border States,-0.3075,0.39549999999999996
63,Northern States,-0.2375,0.401
63,Southern States,-0.42,0.325
63,All States,-0.304,0.4005
64,Border States,-0.3045,0.383
64,Northern States,-0.223,0.414
64,Southern States,-0.409,0.33
64,All States,-0.318,0.4105
65,Border States,-0.301,0.383
65,Northern States,-0.231,0.404
65,Southern States,-0.391,0.33
65,All States,-0.312,0.4
66,Border States,-0.2615,0.3525
66,Northern States,-0.2865,0.412
66,Southern States,-0.3535,0.325
66,All States,-0.3195,0.4095
67,Border States,-0.272,0.40700000000000003
67,Northern States,-0.3635,0.406
67,Southern States,-0.311,0.2555
67,All States,-0.312,0.403
68,Border States,-0.237,0.378
68,Northern States,-0.2845,0.417
68,Southern States,-0.301,0.252
68,All States,-0.279,0.413
69,Border States,-0.233,0.345
69,Northern States,-0.325,0.409
69,Southern States,-0.271,0.252
69,All States,-0.265,0.401
70,Border States,-0.209,0.377
70,Northern States,-0.3775,0.393
70,Southern States,-0.259,0.252
70,All States,-0.2655,0.39
71,Border States,-0.198,0.357
71,Northern States,-0.3885,0.384
71,Southern States,-0.239,0.2635
71,All States,-0.265,0.376
72,Border States,-0.218,0.377
72,Northern States,-0.3225,0.381
72,Southern States,-0.212,0.264
72,All States,-0.249,0.3775
73,Border States,-0.209,NA
73,Northern States,-0.299,0.3485
73,Southern States,-0.1855,0.2555
73,All States,-0.2415,0.348
74,Border States,-0.2295,0.3745
74,Northern States,-0.314,0.324
74,Southern States,-0.17149999999999999,0.2555
74,All States,-0.243,0.318
75,Border States,-0.227,0.3745
75,Northern States,-0.328,0.324
75,Southern States,-0.168,0.2555
75,All States,-0.239,0.318
76,Border States,-0.227,0.3745
76,Northern States,-0.339,0.306
76,Southern States,-0.159,0.259
76,All States,-0.232,0.3025
77,Border States,-0.225,0.433
77,Northern States,-0.355,0.315
77,Southern States,-0.1535,0.266
77,All States,-0.2375,0.316
78,Border States,-0.186,0.417
78,Northern States,-0.404,0.296
78,Southern States,-0.149,0.266
78,All States,-0.2295,0.3025
79,Border States,-0.218,0.433
79,Northern States,-0.407,0.294
79,Southern States,-0.148,0.266
79,All States,-0.2575,0.297
80,Border States,-0.264,0.394
80,Northern States,-0.422,0.271
80,Southern States,-0.1355,0.171
80,All States,-0.2195,0.278
81,Border States,-0.307,0.294
81,Northern States,-0.377,0.2715
81,Southern States,-0.118,0.239
81,All States,-0.303,0.2715
82,Border States,-0.29400000000000004,0.2845
82,Northern States,-0.3775,0.271
82,Southern States,-0.1155,0.181
82,All States,-0.2855,0.271
83,Border States,-0.279,0.354
83,Northern States,-0.383,0.274
83,Southern States,-0.1105,0.20550000000000002
83,All States,-0.271,0.2745
84,Border States,-0.2835,0.275
84,Northern States,-0.3925,0.27
84,Southern States,-0.115,0.252
84,All States,-0.305,0.268
85,Border States,-0.288,0.2625
85,Northern States,-0.3925,0.266
85,Southern States,-0.117,0.252
85,All States,-0.306,0.2645
86,Border States,-0.288,0.275
86,Northern States,-0.3875,0.255
86,Southern States,-0.114,0.252
86,All States,-0.313,0.255
87,Border States,-0.276,0.395
87,Northern States,-0.386,0.2355
87,Southern States,-0.108,0.25
87,All States,-0.304,0.2445
88,Border States,-0.236,0.275
88,Northern States,-0.387,0.236
88,Southern States,-0.1285,0.267
88,All States,-0.3275,0.25
89,Border States,-0.288,0.395
89,Northern States,-0.386,0.234
89,Southern States,-0.1325,0.267
89,All States,-0.327,0.243
90,Border States,-0.2835,0.26
90,Northern States,-0.395,0.235
90,Southern States,-0.1,0.2495
90,All States,-0.3425,0.241
91,Border States,-0.331,0.2675
91,Northern States,-0.397,0.236
91,Southern States,-0.128,0.245
91,All States,-0.3445,0.244
92,Border States,-0.288,0.275
92,Northern States,-0.4005,0.235
92,Southern States,-0.1255,0.265
92,All States,-0.344,0.246
93,Border States,-0.279,0.29400000000000004
93,Northern States,-0.398,0.243
93,Southern States,-0.154,0.297
93,All States,-0.3505,0.25
94,Border States,-0.279,0.23299999999999998
94,Northern States,-0.3835,0.241
94,Southern States,-0.173,0.3
94,All States,-0.3385,0.25
95,Border States,-0.2185,0.262
95,Northern States,-0.3745,0.247
95,Southern States,-0.175,0.3
95,All States,-0.3235,0.262
96,Border States,-0.279,0.29500000000000004
96,Northern States,-0.365,0.2695
96,Southern States,-0.181,0.318
96,All States,-0.321,0.281
97,Border States,-0.196,0.3325
97,Northern States,-0.368,0.282
97,Southern States,-0.1765,0.32
97,All States,-0.32,0.307
98,Border States,-0.196,0.332
98,Northern States,-0.355,0.326
98,Southern States,-0.175,0.333
98,All States,-0.317,0.328
99,Border States,-0.196,0.332
99,Northern States,-0.355,0.331
99,Southern States,-0.193,0.377
99,All States,-0.32,0.344
100,Border States,-0.196,0.333
100,Northern States,-0.355,0.313
100,Southern States,-0.196,0.382
100,All States,-0.32,0.346
101,Border States,-0.196,0.347
101,Northern States,-0.357,0.301
101,Southern States,-0.193,0.381
101,All States,-0.32,0.344
102,Border States,-0.242,0.3705
102,Northern States,-0.357,0.315
102,Southern States,-0.198,0.387
102,All States,-0.32,0.3495
103,Border States,-0.191,0.418
103,Northern States,-0.3825,0.347
103,Southern States,-0.2455,0.40700000000000003
103,All States,-0.3385,0.377
104,Border States,-0.196,0.41200000000000003
104,Northern States,-0.411,0.366
104,Southern States,-0.277,0.425
104,All States,-0.3805,0.3845
105,Border States,-0.265,0.368
105,Northern States,-0.404,0.375
105,Southern States,-0.293,0.423
105,All States,-0.3835,0.39
106,Border States,-0.265,0.364
106,Northern States,-0.402,0.371
106,Southern States,-0.2975,0.424
106,All States,-0.384,0.391
107,Border States,-0.26249999999999996,0.383
107,Northern States,-0.402,0.3725
107,Southern States,-0.302,0.434
107,All States,-0.3845,0.4025
108,Border States,-0.232,0.362
108,Northern States,-0.404,0.374
108,Southern States,-0.303,0.445
108,All States,-0.3825,0.403
109,Border States,-0.2895,0.3805
109,Northern States,-0.404,0.375
109,Southern States,-0.304,0.4555
109,All States,-0.392,0.409
110,Border States,-0.347,0.398
110,Northern States,-0.396,0.396
110,Southern States,-0.2975,0.479
110,All States,-0.379,0.426
111,Border States,-0.347,0.398
111,Northern States,-0.379,0.415
111,Southern States,-0.2975,0.518
111,All States,-0.349,0.448
112,Border States,-0.3625,0.448
112,Northern States,-0.399,0.40900000000000003
112,Southern States,-0.401,0.527
112,All States,-0.398,0.467
113,Border States,-0.453,0.45
113,Northern States,-0.3895,0.436
113,Southern States,-0.401,0.533
113,All States,-0.394,0.49
114,Border States,-0.453,0.473
114,Northern States,-0.391,0.436
114,Southern States,-0.401,0.548
114,All States,-0.3965,0.49
115,Border States,-0.453,0.478
115,Northern States,-0.389,0.436
115,Southern States,-0.4,0.5585
115,All States,-0.3935,0.497
116,Border States,-0.4155,0.478
116,Northern States,-0.371,0.4465
116,Southern States,-0.398,0.565
116,All States,-0.3805,0.505
117,Border States,-0.378,0.46399999999999997
117,Northern States,-0.375,0.45
117,Southern States,-0.4005,0.5654999999999999
117,All States,-0.3825,0.499
118,Border States,-0.453,0.469
118,Northern States,-0.372,0.4505
118,Southern States,-0.407,0.5725
118,All States,-0.389,0.4995
119,Border States,-0.5,0.5285
119,Northern States,-0.3685,0.4575
119,Southern States,-0.4275,0.5874999999999999
119,All States,-0.396,0.526
