"","income","educ","cntrep_opinions","cntrep_help","contact_rep","pid3.recode","women","race.eth","age"
"500",2,3,0,0,0,2,0,2,48
"501",3,2,0,0,0,3,1,2,29
"502",1,3,0,0,0,2,0,3,37
"503",1,4,0,0,0,1,1,1,44
"504",NA,2,0,0,0,3,0,1,76
"505",2,2,0,0,0,3,0,1,52
"506",2,2,0,0,0,2,0,1,67
"507",2,3,0,0,0,3,0,3,38
"508",NA,3,1,0,1,3,0,1,20
"509",2,2,0,0,0,2,1,1,58
"510",1,2,0,0,0,3,0,3,32
"511",2,1,0,0,0,2,0,1,49
"512",4,3,0,0,0,3,0,1,68
"513",1,3,0,0,0,1,0,3,49
"514",2,6,1,1,2,3,0,2,62
"515",1,2,1,0,1,2,0,1,48
"516",1,2,1,1,2,2,0,1,48
"517",4,2,NA,NA,NA,1,1,2,47
"518",1,4,0,0,0,3,0,1,45
"519",2,3,0,0,0,3,0,2,48
"520",1,2,0,0,0,3,1,1,66
"521",3,3,1,1,2,2,0,1,78
"522",1,5,1,0,1,2,0,1,21
"523",2,6,0,0,0,3,0,2,40
"524",1,1,1,1,2,1,1,3,54
"525",2,4,0,0,0,1,1,3,29
"526",NA,3,1,0,1,1,0,1,24
"527",1,3,0,0,0,1,1,2,61
"528",2,5,1,0,1,1,1,1,65
"529",1,2,0,0,0,3,1,3,34
"530",2,3,0,0,0,3,1,3,38
"531",1,2,0,0,0,3,1,1,51
"532",4,2,0,0,0,1,0,3,41
"533",3,2,0,0,0,3,1,1,65
"534",2,5,0,0,0,1,0,2,58
"535",1,3,0,0,0,3,0,2,66
"536",1,5,1,0,1,1,1,1,58
"537",1,2,0,0,0,3,1,3,41
"538",1,1,0,0,0,3,0,3,27
"539",1,2,0,0,0,2,0,1,79
"540",1,2,0,1,1,3,1,2,58
"541",1,1,0,0,0,1,0,2,57
"542",1,2,0,0,0,1,1,1,21
"543",1,1,0,0,0,3,1,1,28
"544",NA,3,0,0,0,3,1,1,19
"545",1,3,0,0,0,2,1,1,72
"546",1,2,0,0,0,3,0,1,63
"547",3,6,1,1,2,3,0,5,64
"548",4,5,0,0,0,1,0,1,24
"549",1,3,1,0,1,2,0,5,20
"550",1,5,0,0,0,2,1,1,30
"551",1,2,0,0,0,2,0,1,69
"552",1,2,0,0,0,1,0,2,57
"553",2,6,1,0,1,1,0,1,29
"554",1,5,0,0,0,3,0,2,78
"555",1,2,0,0,0,3,0,1,61
"556",3,5,0,0,0,1,1,4,46
"557",3,4,0,0,0,1,0,3,32
"558",NA,5,0,0,0,3,0,1,55
"559",NA,5,0,0,0,2,1,1,72
"560",NA,5,0,0,0,3,1,5,44
"561",1,4,0,0,0,1,1,2,47
"562",1,4,0,0,0,2,0,1,55
"563",2,6,0,0,0,1,1,2,67
"564",2,3,1,1,2,1,1,2,70
"565",2,2,1,1,2,3,0,1,26
"566",1,6,1,0,1,3,1,1,43
"567",1,5,1,1,2,1,1,3,80
"568",1,2,1,1,2,1,1,2,62
"569",1,2,0,0,0,3,1,1,72
"570",2,3,0,0,0,2,1,1,33
"571",2,2,0,0,0,2,1,1,56
"572",1,6,1,0,1,3,1,1,40
"573",1,6,0,0,0,2,1,1,62
"574",4,3,0,0,0,3,1,5,45
"575",4,6,0,0,0,3,0,3,33
"576",1,2,0,1,1,2,0,1,28
"577",NA,1,0,0,0,1,1,1,29
"578",4,5,0,0,0,1,0,1,26
"579",1,1,0,0,0,3,1,1,25
"580",1,2,0,0,0,3,0,1,29
"581",1,2,1,0,1,2,1,1,88
"582",1,2,0,1,1,3,0,1,61
"583",1,2,0,0,0,2,1,1,25
"584",1,2,0,0,0,3,1,3,73
"585",1,2,0,1,1,1,1,2,63
"586",1,2,0,0,0,3,1,1,36
"587",1,2,0,0,0,2,1,1,65
"588",3,2,0,0,0,3,1,1,63
"589",2,2,0,0,0,3,1,1,60
"590",NA,3,0,1,1,1,0,2,68
"591",1,2,0,0,0,3,1,1,60
"592",3,2,0,0,0,2,0,1,67
"593",1,2,0,0,0,1,0,1,39
"594",3,6,0,0,0,1,1,4,67
"595",2,3,0,1,1,1,0,2,28
"596",1,1,0,0,0,3,1,1,70
"597",4,3,0,0,0,1,1,1,18
"598",2,5,1,0,1,3,0,3,59
"599",2,2,0,0,0,3,1,1,63
"600",3,3,0,0,0,2,0,1,50
"601",3,3,0,0,0,2,1,1,58
"602",1,5,0,0,0,1,1,3,27
"603",1,1,0,0,0,3,1,5,35
"604",4,3,0,0,0,1,1,2,58
"605",2,6,0,0,0,1,1,2,56
"606",1,3,0,0,0,3,1,1,66
"607",1,1,1,1,2,2,1,1,38
"608",3,2,1,0,1,2,1,1,48
"609",NA,2,0,0,0,2,1,1,49
"610",2,5,0,0,0,3,0,1,29
"611",1,1,0,0,0,3,1,2,23
"612",3,5,0,0,0,3,1,5,61
"613",3,3,1,0,1,3,0,3,62
"614",1,2,0,0,0,2,0,1,71
"615",1,6,0,0,0,1,1,1,47
"616",1,3,1,1,2,1,0,2,60
"617",1,2,1,1,2,2,1,1,23
"618",4,5,0,0,0,1,1,1,29
"619",1,2,0,0,0,1,0,1,64
"620",2,6,0,1,1,1,1,1,66
"621",1,2,1,0,1,3,1,1,73
"622",3,3,0,0,0,3,1,1,28
"623",1,6,1,1,2,3,1,1,61
"624",1,5,0,0,0,1,1,2,24
"625",2,3,1,0,1,2,1,1,31
"626",NA,1,0,0,0,3,0,1,44
"627",1,2,0,0,0,3,1,1,43
"628",2,4,0,0,0,2,0,3,57
"629",2,1,0,0,0,2,0,1,64
"630",1,2,0,0,0,1,1,1,22
"631",2,5,0,0,0,2,0,5,25
"632",2,5,0,0,0,3,1,3,34
"633",4,5,0,0,0,1,1,5,33
"634",3,5,0,0,0,2,1,1,30
"635",1,3,0,0,0,3,1,1,64
"636",2,5,0,0,0,2,0,1,54
"637",4,3,0,0,0,2,1,1,58
"638",4,6,1,0,1,3,0,1,40
"639",1,3,0,0,0,1,0,1,62
"640",2,3,1,0,1,3,0,1,57
"641",1,5,1,0,1,3,0,1,43
"642",NA,3,0,0,0,1,1,4,22
"643",4,5,1,0,1,3,0,1,42
"644",4,6,1,0,1,3,0,4,73
"645",1,6,0,0,0,3,0,3,43
"646",1,2,0,0,0,1,0,2,60
"647",2,3,1,0,1,1,0,1,20
"648",1,5,1,1,2,2,0,1,61
"649",1,3,0,1,1,3,0,3,25
"650",2,6,1,1,2,2,0,1,57
"651",1,2,1,0,1,1,1,2,26
"652",2,3,0,0,0,3,1,1,39
"653",2,4,1,0,1,2,0,1,59
"654",1,2,0,0,0,1,1,1,66
"655",3,3,0,0,0,2,0,1,34
"656",1,1,0,0,0,2,1,1,59
"657",1,3,0,0,0,3,1,5,25
"658",2,3,1,0,1,3,0,1,71
"659",2,2,0,0,0,3,1,2,28
"660",1,3,0,0,0,1,0,1,53
"661",2,2,0,0,0,3,1,1,19
"662",1,3,0,0,0,1,0,1,64
"663",1,2,0,0,0,3,0,2,60
"664",2,5,1,0,1,2,1,1,60
"665",4,5,0,0,0,1,1,1,39
"666",1,4,1,0,1,2,0,1,72
"667",2,2,1,1,2,2,0,2,38
"668",1,3,0,0,0,3,0,1,62
"669",2,3,0,0,0,1,0,1,59
"670",3,4,0,0,0,1,1,1,70
"671",3,3,1,0,1,3,0,1,65
"672",1,3,0,0,0,1,1,1,34
"673",1,3,0,0,0,3,1,2,44
"674",3,4,1,0,1,3,0,1,51
"675",1,3,1,0,1,3,0,1,49
"676",1,3,0,0,0,1,0,1,60
"677",1,3,0,0,0,3,0,2,60
"678",1,2,0,0,0,3,0,2,37
"679",2,3,1,0,1,3,0,1,55
"680",3,3,0,0,0,3,0,1,69
"681",4,6,0,0,0,3,0,1,40
"682",1,3,0,0,0,3,0,1,57
"683",3,4,1,1,2,3,0,5,43
"684",3,3,0,0,0,1,1,5,47
"685",2,3,0,0,0,2,0,1,87
"686",3,4,0,0,0,3,0,1,48
"687",4,6,0,0,0,3,0,1,37
"688",1,4,0,0,0,2,1,1,86
"689",3,3,0,0,0,3,0,1,52
"690",1,2,0,1,1,3,1,1,34
"691",2,4,0,0,0,3,1,2,70
"692",NA,4,NA,NA,NA,1,0,1,59
"693",2,5,0,0,0,2,1,1,24
"694",1,3,0,0,0,2,0,1,35
"695",4,5,1,0,1,3,1,1,39
"696",1,3,1,1,2,1,1,3,54
"697",2,6,0,0,0,1,0,1,38
"698",2,3,0,0,0,3,1,1,20
"699",1,3,0,0,0,2,0,1,77
"700",2,1,0,1,1,3,1,1,43
"701",1,4,0,0,0,1,1,2,67
"702",3,4,0,0,0,3,0,1,63
"703",3,6,0,0,0,3,0,2,46
"704",1,3,0,0,0,3,1,1,39
"705",3,4,0,0,0,1,1,3,56
"706",2,5,0,0,0,3,0,1,25
"707",4,5,1,1,2,3,1,3,50
"708",1,3,0,0,0,2,0,1,51
"709",3,6,0,0,0,2,1,1,56
"710",2,3,1,0,1,1,1,2,48
"711",2,3,0,0,0,3,1,1,30
"712",2,4,0,0,0,3,0,1,62
"713",1,5,0,0,0,2,1,1,43
"714",1,2,0,0,0,3,1,3,32
"715",1,1,0,0,0,2,1,3,64
"716",4,4,0,0,0,3,0,1,50
"717",1,4,0,1,1,3,0,1,55
"718",1,5,0,0,0,3,0,1,55
"719",4,3,1,0,1,1,1,1,41
"720",2,3,0,0,0,1,1,2,52
"721",3,3,0,0,0,2,0,1,65
"722",2,5,0,0,0,3,1,1,56
"723",2,4,0,0,0,3,0,5,64
"724",1,1,0,0,0,1,1,1,36
"725",1,1,0,0,0,2,0,1,40
"726",4,5,0,0,0,3,0,4,49
"727",2,5,0,0,0,2,0,1,59
"728",2,5,0,0,0,2,0,1,64
"729",4,5,0,0,0,3,0,1,52
"730",3,5,1,0,1,3,1,1,62
"731",1,2,0,0,0,1,0,5,55
"732",NA,3,0,0,0,3,0,5,59
"733",2,5,0,0,0,3,1,1,58
"734",2,6,0,0,0,2,1,1,63
"735",1,2,0,0,0,3,1,1,63
"736",3,1,1,1,2,1,0,1,65
"737",3,4,0,0,0,2,0,1,45
"738",1,3,0,0,0,1,0,1,47
"739",1,5,0,0,0,3,1,1,62
"740",1,2,0,0,0,3,1,1,56
"741",2,3,0,0,0,1,0,5,32
"742",1,2,0,0,0,2,1,1,56
"743",NA,3,0,0,0,1,0,5,47
"744",3,6,0,0,0,1,1,1,40
"745",1,4,0,0,0,1,1,2,24
"746",4,6,NA,NA,NA,3,0,1,41
"747",1,3,0,0,0,3,1,3,39
"748",1,4,0,0,0,3,0,1,35
"749",1,2,0,0,0,3,0,1,55
"750",1,2,1,0,1,1,1,4,60
"751",1,3,0,0,0,3,0,1,57
"752",NA,3,1,1,2,1,1,1,21
"753",1,6,0,0,0,3,0,4,58
"754",4,6,0,0,0,1,1,2,42
"755",1,2,0,0,0,3,1,5,23
"756",1,5,1,1,2,3,1,1,47
"757",1,3,1,1,2,1,1,2,61
"758",2,6,0,1,1,2,0,1,64
"759",3,6,0,0,0,1,0,1,61
"760",2,3,0,0,0,2,1,1,24
"761",2,6,0,0,0,3,0,1,70
"762",2,6,1,0,1,2,0,1,77
"763",2,4,0,0,0,1,1,1,52
"764",3,4,1,1,2,3,0,1,67
"765",2,5,1,1,2,1,0,1,87
"766",2,3,0,0,0,1,1,1,59
"767",1,5,0,0,0,3,0,1,67
"768",2,6,0,0,0,1,0,1,35
"769",1,5,1,1,2,1,0,5,75
"770",4,6,0,0,0,1,0,1,74
"771",1,4,1,1,2,1,1,1,65
"772",3,5,0,0,0,3,0,1,53
"773",2,4,0,0,0,2,1,1,67
"774",1,3,0,0,0,1,1,2,58
"775",1,2,0,0,0,1,1,2,47
"776",3,6,1,0,1,2,1,1,44
"777",2,6,0,0,0,3,0,1,71
"778",1,3,1,0,1,3,0,1,43
"779",4,5,0,0,0,3,0,1,51
"780",1,3,1,0,1,1,1,1,68
"781",3,5,0,0,0,1,0,1,70
"782",1,3,0,0,0,3,1,1,60
"783",NA,5,0,0,0,2,1,1,41
"784",4,6,0,0,0,1,0,1,52
"785",1,2,0,0,0,3,1,1,70
"786",4,5,0,0,0,1,0,1,57
"787",1,4,1,0,1,3,1,1,53
"788",4,4,1,0,1,1,1,1,81
"789",1,1,0,0,0,2,0,2,41
"790",3,5,0,0,0,1,0,1,78
"791",1,3,1,1,2,2,1,1,71
"792",3,5,1,0,1,3,0,1,62
"793",2,6,0,0,0,3,0,1,54
"794",1,2,0,0,0,1,1,1,74
"795",1,4,0,0,0,2,1,1,70
"796",1,2,0,0,0,2,1,1,70
"797",4,5,0,0,0,1,0,1,52
"798",2,6,1,0,1,2,0,1,58
"799",3,5,1,0,1,1,1,2,35
"800",2,2,0,0,0,1,1,1,64
"801",3,6,1,0,1,3,0,1,61
"802",1,6,0,0,0,1,1,2,67
"803",1,3,1,0,1,3,1,1,33
"804",1,4,1,1,2,3,0,1,38
"805",1,2,0,0,0,1,1,2,72
"806",3,6,1,0,1,1,1,4,61
"807",4,5,1,0,1,1,0,1,57
"808",1,2,0,0,0,1,1,1,49
"809",1,4,0,0,0,2,1,1,46
"810",3,5,1,0,1,2,1,4,45
"811",2,4,0,0,0,2,1,1,61
"812",4,5,0,0,0,1,1,1,23
"813",1,4,0,0,0,1,1,1,81
"814",3,5,0,0,0,3,0,1,51
"815",3,3,0,0,0,3,0,1,21
"816",2,6,0,0,0,3,1,2,64
"817",2,4,0,0,0,3,1,3,73
"818",NA,3,0,0,0,2,1,1,69
"819",1,2,0,0,0,1,0,1,22
"820",3,5,0,0,0,1,0,1,60
"821",3,5,0,0,0,1,0,1,60
"822",3,5,1,1,2,3,0,1,73
"823",1,4,0,0,0,3,1,1,48
"824",1,4,0,0,0,3,1,3,22
"825",1,5,0,0,0,3,1,2,68
"826",3,6,0,0,0,3,0,1,65
"827",1,3,0,0,0,3,1,1,39
"828",1,4,0,0,0,3,1,1,51
"829",2,5,0,0,0,1,0,1,43
"830",1,4,0,0,0,1,1,1,81
"831",1,2,0,0,0,3,1,1,36
"832",3,5,0,0,0,1,0,1,87
"833",2,5,0,0,0,1,0,5,65
"834",1,3,1,0,1,1,1,1,56
"835",2,3,0,1,1,1,1,1,70
"836",1,2,1,0,1,2,1,1,64
"837",1,3,0,0,0,1,1,1,68
"838",1,5,0,0,0,3,1,2,39
"839",4,4,1,0,1,3,0,1,52
"840",1,5,0,0,0,3,0,1,48
"841",4,6,0,0,0,1,0,1,54
"842",1,3,0,0,0,1,0,2,26
"843",2,5,1,1,2,1,1,2,59
"844",1,3,0,0,0,1,1,2,70
"845",3,5,0,0,0,1,0,1,72
"846",2,6,0,0,0,2,0,1,42
"847",1,5,0,0,0,3,0,1,69
"848",4,5,1,0,1,1,0,1,23
"849",2,5,0,0,0,2,0,1,74
"850",1,5,1,0,1,1,1,2,62
"851",NA,1,1,1,2,3,1,2,33
"852",4,6,0,0,0,1,0,1,57
"853",3,2,0,0,0,1,1,1,61
"854",1,3,0,0,0,1,1,1,59
"855",1,2,0,1,1,2,1,1,76
"856",2,5,1,1,2,1,1,2,55
"857",1,3,1,0,1,3,1,1,42
"858",1,3,0,0,0,2,1,1,76
"859",2,6,0,0,0,2,0,1,71
"860",1,3,0,1,1,3,1,2,40
"861",2,3,1,0,1,1,0,1,83
"862",1,5,1,1,2,3,0,5,68
"863",2,5,0,0,0,3,0,1,48
"864",1,4,1,0,1,3,1,5,67
"865",2,2,1,0,1,1,1,1,47
"866",2,5,0,0,0,3,0,1,74
"867",1,2,0,0,0,1,1,2,73
"868",2,5,0,0,0,1,0,4,49
"869",2,6,0,0,0,1,1,3,42
"870",4,3,1,1,2,2,1,1,67
"871",1,4,0,0,0,1,0,2,41
"872",3,6,1,0,1,1,0,1,67
"873",1,3,0,0,0,2,1,1,61
"874",1,3,0,0,0,1,1,2,71
"875",1,6,0,0,0,2,1,3,60
"876",1,5,0,0,0,2,0,1,64
"877",1,2,1,0,1,3,1,1,73
"878",2,3,0,0,0,3,1,1,44
"879",NA,1,0,0,0,2,0,1,35
"880",2,5,0,0,0,2,1,1,28
"881",1,2,0,0,0,3,1,2,28
"882",1,5,1,0,1,2,1,1,29
"883",2,3,1,0,1,3,1,1,68
"884",1,3,0,0,0,1,1,3,67
"885",2,5,0,0,0,1,0,1,71
"886",1,5,0,0,0,3,1,5,29
"887",1,2,0,0,0,2,1,1,66
"888",1,4,1,1,2,1,0,2,48
"889",2,3,1,0,1,1,0,1,63
"890",3,2,0,0,0,3,1,1,69
"891",2,5,0,0,0,3,0,1,73
"892",1,4,0,0,0,1,1,2,37
"893",1,5,1,0,1,3,0,1,22
"894",1,3,0,0,0,2,1,1,50
"895",1,2,0,0,0,2,0,1,27
"896",1,6,0,0,0,1,0,1,43
"897",2,3,0,0,0,3,1,1,37
"898",2,5,0,0,0,3,0,4,39
"899",1,2,0,0,0,3,1,2,47
"900",1,2,0,0,0,2,1,1,58
"901",2,2,0,0,0,1,1,1,73
"902",1,1,0,0,0,3,1,1,48
"903",2,4,0,0,0,2,1,1,39
"904",2,5,0,0,0,3,0,1,51
"905",2,3,0,0,0,2,1,2,69
"906",1,3,0,0,0,1,1,1,41
"907",1,2,0,0,0,3,1,2,35
"908",1,3,0,0,0,3,0,1,54
"909",1,4,0,0,0,1,0,1,73
"910",4,5,1,0,1,2,0,1,71
"911",2,6,0,0,0,1,0,1,52
"912",1,3,0,0,0,1,1,2,41
"913",1,6,0,0,0,1,1,2,59
"914",NA,6,0,0,0,1,1,1,27
"915",4,5,0,0,0,1,0,4,24
"916",1,2,1,0,1,2,1,1,70
"917",NA,4,1,0,1,2,1,1,76
"918",1,5,0,0,0,1,1,2,66
"919",1,2,0,0,0,1,1,1,42
"920",2,5,1,0,1,2,0,1,74
"921",NA,3,0,0,0,2,1,1,61
"922",1,3,0,0,0,3,1,3,24
"923",1,2,1,1,2,3,0,2,43
"924",NA,3,0,0,0,2,1,1,74
"925",1,3,0,0,0,3,0,1,44
"926",1,3,0,0,0,1,1,3,51
"927",1,5,0,0,0,1,0,1,22
"928",2,6,1,0,1,3,0,1,43
"929",1,2,0,0,0,1,1,2,19
"930",NA,2,0,0,0,1,1,1,77
"931",1,3,0,0,0,1,1,4,20
"932",3,1,0,1,1,1,1,4,44
"933",4,3,0,0,0,2,0,3,65
"934",4,5,1,0,1,1,0,1,38
"935",1,6,0,0,0,1,1,3,43
"936",2,4,0,0,0,3,1,5,70
"937",3,4,0,0,0,3,0,1,70
"938",4,5,0,1,1,1,0,1,58
"939",1,4,0,0,0,1,1,3,65
"940",1,5,0,0,0,2,0,1,56
"941",3,6,0,0,0,3,0,1,69
"942",2,2,0,0,0,2,1,1,36
"943",4,5,0,0,0,2,0,1,55
"944",2,3,1,0,1,1,1,1,35
"945",1,4,0,0,0,1,1,2,36
"946",NA,2,0,0,0,1,1,1,72
"947",2,5,0,0,0,1,1,3,62
"948",1,2,0,0,0,1,1,1,52
"949",1,4,0,0,0,1,1,3,41
"950",1,3,0,0,0,2,1,1,26
"951",3,6,0,0,0,1,0,1,56
"952",1,1,0,0,0,3,0,3,21
"953",1,3,0,0,0,3,0,1,21
"954",1,5,0,0,0,2,1,1,22
"955",1,2,0,0,0,2,0,1,48
"956",2,3,0,0,0,3,1,1,18
"957",1,3,1,0,1,1,0,1,19
"958",1,2,0,0,0,2,1,1,67
"959",NA,3,0,0,0,1,1,4,21
"960",2,6,NA,NA,NA,3,1,1,29
"961",NA,6,0,0,0,2,0,5,60
"962",1,2,0,0,0,3,1,1,75
"963",1,2,1,1,2,1,1,2,26
"964",1,6,0,0,0,2,1,1,24
"965",2,5,0,0,0,3,0,1,23
"966",1,2,0,0,0,2,0,1,65
"967",1,2,0,0,0,2,1,1,64
"968",1,2,0,0,0,1,1,1,65
"969",2,2,0,0,0,3,0,3,57
"970",1,2,1,0,1,3,1,1,22
"971",1,3,0,0,0,3,1,1,21
"972",1,3,0,0,0,1,1,1,21
"973",1,6,0,0,0,1,0,1,22
"974",1,5,0,0,0,1,1,2,22
"975",4,6,0,0,0,1,1,1,23
"976",3,3,0,0,0,3,0,4,22
"977",1,5,0,0,0,1,0,3,34
"978",4,5,1,0,1,1,1,4,21
"979",3,2,0,0,0,2,0,4,20
"980",1,4,1,1,2,3,0,3,30
"981",1,6,1,1,2,1,1,1,27
"982",1,1,0,0,0,3,1,1,26
"983",1,2,0,0,0,3,1,1,53
"984",1,2,0,0,0,3,0,1,37
"985",1,3,0,0,0,3,0,5,20
"986",3,2,0,0,0,3,1,1,39
"987",3,2,0,0,0,2,0,3,32
"988",NA,2,0,0,0,2,1,1,66
"989",1,2,1,1,2,2,0,1,24
"990",1,2,0,0,0,3,1,1,55
"991",1,1,1,0,1,1,1,1,52
"992",4,5,0,0,0,2,1,1,22
"993",1,4,0,0,0,2,0,4,26
"994",1,5,0,0,0,3,0,2,23
"995",3,2,0,0,0,2,1,1,65
"996",1,1,0,0,0,2,0,5,43
"997",1,2,0,0,0,2,1,1,27
"998",1,2,0,0,0,2,0,1,82
"999",1,2,0,0,0,3,1,5,37
"1000",1,1,0,0,0,3,1,1,69
